recipe_id,ingredient_id,amount,unit
92,46,60,g
92,37,60,g
92,25,10,ml
92,33,1,g
92,5,1,g
92,6,0.5,g
93,68,200,g
93,56,50,g
93,53,120,g
93,10,10,g
93,13,5,g
94,17,4,plastry
94,90,160,g
94,18,120,g
94,29,30,g
94,30,3,g
94,19,10,ml
94,32,1,g
94,5,1.5,g
94,6,0.5,g
95,55,150,g
95,1,2,szt
95,24,80,g
95,79,20,g
95,23,4,g
95,27,1,g
95,25,10,ml
95,10,15,g
95,5,0.5,g
96,40,60,g
96,14,250,ml
96,41,150,ml
96,80,10,g
96,48,25,g
96,27,1,g
96,10,10,g
96,5,0.5,g
97,1,3,szt
97,63,80,g
97,62,20,g
97,3,150,g
97,25,10,ml
97,5,1,g
97,6,0.5,g
98,1,2,szt
98,18,100,g
98,22,30,g
98,64,60,g
98,19,5,ml
98,4,5,g
98,5,1,g
98,6,0.5,g
99,7,70,g
99,14,200,ml
99,88,50,ml
99,39,5,g
99,15,100,g
99,10,10,g
99,5,0.5,g
100,25,15,ml
100,29,80,g
100,30,6,g
100,28,300,ml
100,37,120,g
100,33,2,g
100,32,1,g
100,5,2,g
100,6,1,g
100,1,4,szt
100,46,80,g
101,91,300,g
101,65,160,g
101,78,300,ml
101,29,80,g
101,30,6,g
101,31,150,g
101,52,2,g
101,32,1,g
101,109,1,g
101,124,10,ml
101,5,2,g
101,6,1,g
102,94,400,g
102,93,500,g
102,29,120,g
102,30,6,g
102,101,150,g
102,108,800,g
102,117,20,g
102,120,2,g
102,124,15,ml
102,5,3,g
102,6,1.5,g
102,97,60,g
103,95,180,g
103,91,300,g
103,62,30,g
103,37,80,g
103,63,80,g
103,30,3,g
103,124,10,ml
103,5,1.5,g
103,6,0.5,g
104,51,300,g
104,65,160,g
104,101,120,g
104,31,150,g
104,29,80,g
104,103,25,ml
104,104,10,g
104,105,10,g
104,30,6,g
104,124,10,ml
104,5,1,g
104,6,0.5,g
105,106,250,g
105,122,300,g
105,31,200,g
105,29,120,g
105,30,6,g
105,28,500,ml
105,33,2,g
105,124,10,ml
105,5,2,g
105,6,1,g
106,112,300,g
106,76,400,g
106,100,300,g
106,124,15,ml
106,19,10,ml
106,44,5,g
106,5,2,g
106,6,1,g
107,99,1200,ml
107,28,500,ml
107,117,20,g
107,29,80,g
107,30,6,g
107,121,2,g
107,98,100,ml
107,96,200,g
107,124,10,ml
107,5,3,g
107,6,1.5,g
108,93,500,g
108,90,400,g
108,73,200,g
108,108,800,g
108,29,120,g
108,30,6,g
108,32,2,g
108,33,2,g
108,109,1,g
108,124,15,ml
108,5,3,g
108,6,1.5,g
108,65,200,g
109,92,300,g
109,1,1,szt
109,24,40,g
109,29,60,g
109,58,5,g
109,25,15,ml
109,5,2,g
109,6,1,g
109,61,120,g
109,45,200,g
109,11,80,g
109,19,5,ml
110,91,250,g
110,46,80,g
110,86,80,g
110,45,200,g
110,3,250,g
110,47,60,g
110,124,15,ml
110,19,10,ml
110,120,1,g
110,5,1,g
110,6,0.5,g
111,65,180,g
111,57,250,g
111,29,80,g
111,30,6,g
111,99,700,ml
111,97,50,g
111,2,20,g
111,58,5,g
111,124,10,ml
111,5,2,g
111,6,1,g
112,107,250,g
112,101,150,g
112,29,120,g
112,30,6,g
112,108,400,g
112,99,800,ml
112,32,2,g
112,33,2,g
112,109,1,g
112,124,15,ml
112,5,3,g
112,6,1,g
113,76,600,g
113,29,80,g
113,1,1,szt
113,24,60,g
113,25,30,ml
113,5,2,g
113,6,1,g
113,22,150,g
113,30,6,g
113,44,5,g
114,94,200,g
114,70,120,g
114,1,2,szt
114,97,60,g
114,124,5,ml
114,5,1,g
114,6,1,g
115,95,350,g
115,91,500,g
115,100,400,g
115,98,250,ml
115,36,150,g
115,29,120,g
115,30,6,g
115,124,15,ml
115,33,2,g
115,5,3,g
115,6,1.5,g
116,34,4,szt
116,90,400,g
116,73,200,g
116,108,400,g
116,29,80,g
116,30,6,g
116,109,1,g
116,32,1,g
116,33,2,g
116,36,120,g
116,47,40,g
116,124,10,ml
116,5,2,g
116,6,1,g
117,111,800,g
117,29,120,g
117,30,6,g
117,104,10,g
117,78,300,ml
117,99,800,ml
117,124,15,ml
117,69,20,g
117,5,3,g
117,6,1.5,g
118,113,350,g
118,122,250,g
118,101,150,g
118,31,150,g
118,29,80,g
118,119,2,g
118,124,15,ml
118,19,10,ml
118,5,2,g
118,6,1,g
119,91,350,g
119,28,500,ml
119,29,80,g
119,30,6,g
119,63,150,g
119,121,2,g
119,124,10,ml
119,5,2,g
119,6,1,g
120,89,150,g
120,110,240,g
120,122,250,g
120,31,150,g
120,29,80,g
120,46,80,g
120,124,15,ml
120,19,10,ml
120,119,2,g
120,5,2,g
120,6,1,g
121,61,160,g
121,83,250,g
121,85,80,g
121,29,80,g
121,37,80,g
121,67,20,g
121,124,10,ml
121,5,2,g
121,6,1,g
122,95,200,g
122,72,160,g
122,73,120,g
122,29,60,g
122,30,3,g
122,11,120,g
122,19,10,ml
122,58,5,g
122,5,1.5,g
122,6,1,g
123,77,500,g
123,110,240,g
123,37,80,g
123,46,100,g
123,32,1,g
123,33,2,g
123,124,15,ml
123,5,2,g
123,6,1,g
124,91,350,g
124,115,200,g
124,101,120,g
124,31,150,g
124,29,80,g
124,30,6,g
124,104,10,g
124,103,30,ml
124,105,10,g
124,124,10,ml
124,5,1,g
124,6,0.5,g
125,99,1200,ml
125,76,500,g
125,64,250,g
125,101,120,g
125,29,80,g
125,30,3,g
125,98,120,ml
125,44,5,g
125,124,10,ml
125,5,3,g
125,6,1.5,g
126,116,800,g
126,123,400,g
126,106,300,g
126,29,120,g
126,30,6,g
126,117,30,g
126,119,2,g
126,124,15,ml
126,33,2,g
126,5,3,g
126,6,1.5,g
127,118,600,g
127,106,300,g
127,70,120,g
127,29,120,g
127,30,6,g
127,108,400,g
127,117,30,g
127,33,2,g
127,124,10,ml
127,5,3,g
127,6,1.5,g
128,122,500,g
128,46,120,g
128,1,2,szt
128,24,80,g
128,30,6,g
128,44,5,g
128,124,20,ml
128,5,2,g
128,6,1,g
128,22,150,g
129,114,150,g
129,45,200,g
129,3,250,g
129,86,80,g
129,46,100,g
129,47,60,g
129,124,15,ml
129,19,10,ml
